DATE,Count
2018-05-07,304
2018-05-08,270
2018-05-09,277
2018-05-10,308
2018-05-11,307
2018-05-12,249
2018-05-13,230
2018-05-14,257
2018-05-15,323
2018-05-16,259
2018-05-17,305
2018-05-18,310
2018-05-19,266
2018-05-20,259
2018-05-21,303
2018-05-22,291
2018-05-23,339
2018-05-24,283
2018-05-25,298
2018-05-26,289
2018-05-27,253
2018-05-28,236
2018-05-29,295
2018-05-30,298
2018-05-31,303
2018-06-01,308
2018-06-02,293
2018-06-03,209
2018-06-04,288
2018-06-05,311
2018-06-06,291
2018-06-07,323
2018-06-08,313
2018-06-09,280
2018-06-10,248
2018-06-11,320
2018-06-12,305
2018-06-13,295
2018-06-14,335
2018-06-15,372
2018-06-16,276
2018-06-17,251
2018-06-18,303
2018-06-19,288
2018-06-20,302
2018-06-21,283
2018-06-22,283
2018-06-23,274
2018-06-24,281
2018-06-25,337
2018-06-26,300
2018-06-27,326
2018-06-28,288
2018-06-29,267
2018-06-30,284
2018-07-01,254
2018-07-02,292
2018-07-03,317
2018-07-04,271
2018-07-05,309
2018-07-06,268
2018-07-07,252
2018-07-08,228
2018-07-09,293
2018-07-10,297
2018-07-11,286
2018-07-12,286
2018-07-13,277
2018-07-14,274
2018-07-15,246
2018-07-16,249
2018-07-17,233
2018-07-18,272
2018-07-19,284
2018-07-20,273
2018-07-21,277
2018-07-22,252
2018-07-23,299
2018-07-24,294
2018-07-25,296
2018-07-26,280
2018-07-27,292
2018-07-28,289
2018-07-29,265
2018-07-30,258
2018-07-31,275
2018-08-01,264
2018-08-02,282
2018-08-03,331
2018-08-04,247
2018-08-05,221
2018-08-06,291
2018-08-07,246
2018-08-08,250
2018-08-09,301
2018-08-10,306
2018-08-11,258
2018-08-12,247
2018-08-13,247
2018-08-14,282
2018-08-15,298
2018-08-16,275
2018-08-17,273
2018-08-18,268
2018-08-19,250
2018-08-20,273
2018-08-21,294
2018-08-22,267
2018-08-23,291
2018-08-24,276
2018-08-25,256
2018-08-26,237
2018-08-27,255
2018-08-28,252
2018-08-29,273
2018-08-30,257
2018-08-31,269
2018-09-01,264
2018-09-02,227
2018-09-03,176
